state,state_abbrev,income_inequality,trust,life_expectancy,infant_mortality,obesity,mental_health,maths_and_literacy_scores,teenage_births,homicides,imprisonment,index_of_health_social_problems,overweight_children,child_wellbeing,womens_status,juvenile_homicides,high_school_drop_outs,child_mental_illness,pugnacity
Alabama,AL,0.47,23,74.6,9.1,32,3.3,257.5,62.9,78.9,509,1.38,35,8.5,-0.93,12,24.7,11.5,41.84
Alaska,AK,0.4,NA,76.7,5.5,30,2.8,267.5,42.4,85.6,413,0.14,31,4.4,0.74,8,11.7,8.2,NA
Arizona,AZ,0.45,47,77.5,6.4,28.5,2.2,263,69.1,80.4,507,0.21,30,4.9,-0.15,7,19,8.7,36.35
Arkansas,AR,0.46,29,75.1,8.3,31,3.2,262,68.5,56.1,415,0.95,33,9.3,-1.32,6,24.7,11.8,38.36
California,CA,0.47,43,78.3,5.5,31,3.3,259,48.5,60.5,478,0.33,30,-3.4,0.97,10,23.2,7.5,37.71
Colorado,CO,0.44,46,78.4,6.1,21.5,3.3,275.5,49.2,45.6,357,-0.51,22,-1.1,1.05,4,13.1,7.2,39.45
Connecticut,CT,0.48,49,78.4,6.5,26.5,2.7,275.5,31.9,32.6,372,-0.66,27,-11.2,1.5,4,16,8.9,39.23
Delaware,DE,0.43,NA,76.6,8.7,27,3.1,271,51.6,31.8,429,0.13,35,1.4,0.9,0,17.4,8.6,33.33
Florida,FL,0.47,37,77.5,7.5,27.5,3.3,264,52.6,56.8,447,0.36,32,2.4,-0.46,NA,20.1,9.3,37.28
Georgia,GA,0.46,38,75.3,8.9,30.5,3,264,64.2,74.9,502,0.9,32,8.6,-0.29,8,21.4,8.9,41.44
Hawaii,HI,0.43,NA,79.8,7.3,28,2.3,258.5,45.1,37.1,307,-0.39,27,-2.2,0.22,0,15.4,7.6,NA
Idaho,ID,0.43,NA,78,6.1,27,3.2,272,43.1,20.1,330,-0.43,26,-2.3,-0.96,2,15.3,9,41.97
Illinois,IL,0.46,44,76.7,7.4,32,2.6,271.5,49.5,77.3,357,0.21,31,-1.4,0.24,43,18.6,7.5,37.4
Indiana,IN,0.42,43,76.2,7.7,31,3.4,273,50.3,65.8,321,0.37,33,2,-0.25,4,17.9,9.2,36.38
Iowa,IA,0.42,56,78.5,5.3,28.5,2.7,276,34.7,15,258,-0.89,26,-11.1,-0.02,0,13.9,7.2,31.98
Kansas,KS,0.44,55,77.5,7.1,29,2.5,275,45.3,40.4,310,-0.44,30,-5.2,0.55,NA,14,10.2,35.16
Kentucky,KY,0.47,32,75.3,7.2,31.5,4.3,270,55.3,53.5,379,0.87,38,7.1,-1.01,26,25.9,11.4,37.86
Louisiana,LA,0.48,33,74.4,10.3,32.5,3,259.5,62.1,107,736,1.59,36,17.8,-0.75,19,25.2,11.4,45.12
Maine,ME,0.43,NA,77.6,4.4,29,2.7,265,28.7,21.5,139,-0.77,30,-6.6,0.44,1,14.6,11.7,29.86
Maryland,MD,0.43,42,76.3,7.5,28,2.7,270,41.6,89.9,418,0.19,30,-1.5,1.7,20,16.2,9.9,35.31
